"Food.code"	"Start.date"	"End.date"	"Main.food.description"	"Fortification.identifier"
11710377	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive, infant formula, prepared from powder, made with tap water"	1
11710378	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive, infant formula, prepared from powder, made with plain bottled water"	1
11710379	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive, infant formula, prepared from powder, made with baby water"	1
11710380	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive for Spit-Up, infant formula, NS as to form"	1
11710381	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive for Spit-Up, infant formula, ready-to-feed"	1
11710383	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with water, NFS"	1
11710387	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with tap water"	1
11710388	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with plain bottled water "	1
11710389	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with baby water"	1
11710470	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Expert Care NeoSure, infant formula, NS as to form"	1
11710471	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Expert Care NeoSure, infant formula, ready-to-feed"	1
11710473	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Expert Care NeoSure, infant formula, prepared from powder, made with water, NFS"	1
11710477	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Expert Care NeoSure, infant formula, prepared from powder, made with tap water"	1
11710478	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Expert Care NeoSure, infant formula, prepared from powder, made with plain bottled water"	1
11710479	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Expert Care NeoSure, infant formula, prepared from powder, made with baby water"	1
11710480	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Go and Grow, infant formula, NS as to form "	1
11710481	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Go and Grow, infant formula, prepared from powder, made with water, NFS"	1
11710482	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Go and Grow, infant formula, prepared from powder, made with tap water"	1
11710483	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Go and Grow, infant formula, prepared from powder, made with plain bottled water"	1
11710484	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Go and Grow, infant formula, prepared from powder, made with baby water"	1
11710620	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Newborn, infant formula, NS as to form"	1
11710621	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Newborn, infant formula, ready-to-feed"	1
11710626	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with water, NFS"	1
11710627	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with tap water"	1
11710628	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with plain bottled water"	1
11710629	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with baby water"	1
11710630	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Infant, infant formula, NS as to form"	1
11710631	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Infant, infant formula, ready-to-feed"	1
11710632	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with water, NFS"	1
11710633	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with tap water"	1
